,iso_code,location,continent,total_deaths_per_million,aged_65_older,people_fully_vaccinated_per_hundred,stringency_index,latitude,longitude
0,AFG,Afghanistan,Asia,194.791,2.581,25.69,31.74277659574468,33.00000000,65.00000000
1,AGO,Angola,Africa,55.559,2.405,22.65,58.48611956521739,-12.50000000,18.50000000
2,ALB,Albania,Europe,1257.921,13.188,44.27,48.00924528301887,41.00000000,20.00000000
3,ARE,United Arab Emirates,Asia,250.503,1.144,104.56,49.042535787321064,24.00000000,54.00000000
4,ARG,Argentina,South America,2870.301,11.198,83.54,57.187538304392234,-34.00000000,-64.00000000
6,AUS,Australia,Oceania,597.004,15.504,84.04,51.414095528455285,-27.00000000,133.00000000
7,AUT,Austria,Europe,2344.968,19.202,76.46,53.1588679245283,47.33333333,13.33333333
8,AZE,Azerbaijan,Asia,962.96,6.018,47.15,64.49719704952581,40.50000000,47.50000000
9,BDI,Burundi,Africa,3.028,2.562,0.17,14.881679389312977,-3.50000000,30.00000000
10,BEL,Belgium,Europe,2822.738,18.571,78.9,43.689128205128206,50.83333333,4.00000000
11,BEN,Benin,Africa,12.541,3.244,20.7,36.19105263157895,9.50000000,2.25000000
12,BFA,Burkina Faso,Africa,17.511,2.409,12.03,25.419698660714285,13.00000000,-2.00000000
13,BGD,Bangladesh,Asia,173.569,5.098,72.98,58.83259850905218,24.00000000,90.00000000
14,BGR,Bulgaria,Europe,5487.18,20.801,30.1,40.68215749730313,43.00000000,25.00000000
15,BHS,Bahamas,North America,2042.137,8.996,40.4,60.29492489270387,24.25000000,-76.00000000
16,BIH,Bosnia and Herzegovina,Europe,4939.248,16.569,25.87,42.40865323435843,44.00000000,18.00000000
17,BLR,Belarus,Europe,743.148,14.799,66.81,26.82439024390244,53.00000000,28.00000000
18,BLZ,Belize,North America,1714.867,3.853,55.17,60.9010737527115,17.25000000,-88.75000000
20,BOL,Bolivia,South America,1840.892,6.704,51.0,47.12435814455232,-17.00000000,-65.00000000
21,BRA,Brazil,South America,3206.066,8.552,80.4,53.56368310598111,-10.00000000,-55.00000000
22,BRN,Brunei,Asia,505.195,4.591,99.86,44.79140504939627,4.50000000,114.66666666
23,BTN,Bhutan,Asia,27.01,4.885,87.13,59.75196099674972,27.50000000,90.50000000
24,BWA,Botswana,Africa,1077.876,3.941,53.25,41.43646739130435,-22.00000000,24.00000000
25,CAF,Central African Republic,Africa,20.707,3.655,28.91,27.855280172413792,7.00000000,21.00000000
26,CAN,Canada,North America,1203.931,16.984,82.83,55.34937183383992,60.00000000,-95.00000000
27,CHE,Switzerland,Europe,1613.318,18.436,69.14,39.04069327731092,47.00000000,8.00000000
28,CHL,Chile,South America,3150.435,11.087,90.72,57.308675078864354,-30.00000000,-71.00000000
29,CHN,China,Asia,3.665,10.641,89.19,72.11461538461539,35.00000000,105.00000000
32,CIV,Cote d'Ivoire,Africa,30.097,2.933,32.09,28.254146341463418,8.00000000,-5.00000000
33,CMR,Cameroon,Africa,71.143,3.165,4.65,35.47405951115834,6.00000000,12.00000000
35,COD,Democratic Republic of Congo,Africa,15.058,3.02,4.56,42.07373519913886,0.00000000,25.00000000
37,COG,Congo,Africa,66.143,3.402,11.21,49.19932754880694,-1.00000000,15.00000000
39,COL,Colombia,South America,2752.901,7.646,71.18,56.48152542372881,4.00000000,-72.00000000
41,CRI,Costa Rica,North America,1741.186,9.468,81.69,49.239636363636365,10.00000000,-84.00000000
43,CUB,Cuba,North America,757.793,14.738,88.8,54.87893390191898,21.50000000,-80.00000000
45,CYP,Cyprus,Europe,1326.999,13.416,72.07,53.04434594594594,35.00000000,33.00000000
47,CZE,Czechia,Europe,3936.922,19.027,65.56,43.7593849416755,49.75000000,15.50000000
49,DEU,Germany,Europe,1815.401,21.453,76.11,51.22021472392638,51.00000000,9.00000000
51,DJI,Djibouti,Africa,170.955,4.213,20.51,49.422462039045556,11.50000000,43.00000000
53,DNK,Denmark,Europe,1225.266,19.677,81.57,38.79298874104401,56.00000000,10.00000000
